live.com,65.55.206.154
wikipedia.org,208.80.154.224
facebook.com,173.252.110.27
yahoo.com,98.138.253.109
baidu.com,220.181.111.86
youtube.com,74.125.225.174
msn.com,65.55.206.228
amazon.com,72.21.215.232
microsoft.com,65.55.58.201
ifeng.com,210.51.19.61
qq.com,125.39.240.113
taobao.com,110.75.20.163
hotmail.com,157.55.152.112
blogspot.com,74.125.142.191
wordpress.com,66.155.11.243
paipai.com,163.177.83.173
bing.com,204.79.197.200
tudou.com,123.126.98.173
bbc.co.uk,212.58.246.104
goo.ne.jp,218.213.142.230
alipay.com,110.75.143.33
360.cn,220.181.24.100
sina.com.cn,202.108.33.60
soso.com,183.61.32.183
nifty.com,210.131.4.217
craigslist.org,208.82.238.129
sohu.com,220.181.90.24
weather.com,96.8.80.132
163.com,123.58.180.8
imageshack.us,208.94.1.8
apple.com,17.178.96.59
soku.com,211.151.146.5
myspace.com,216.178.46.224
yahoo.co.jp,203.216.243.240
yandex.ru,93.158.134.11
cnn.com,157.166.226.25
hao123.com,123.125.115.150
alibaba.com,205.204.96.36
adobe.com,192.150.16.117
tianya.cn,124.225.135.222
windows.com,65.55.58.201
renren.com,220.181.181.223
ask.com,66.235.120.127
go.com,68.71.220.3
twitter.com,199.59.150.39
ebay.com,66.211.160.87
livedoor.jp,125.6.149.67
4399.com,115.182.52.231
cnet.com,64.30.224.118
mywebsearch.com,74.113.233.48
zynga.com,74.114.13.1
blogger.com,74.125.142.191
mozilla.com,63.245.217.194
orkut.com,74.125.142.85
youku.com,121.9.204.234
mail.ru,94.100.180.201
xunlei.com,58.251.57.175
vkontakte.ru,87.240.156.166
skype.com,91.190.218.46
hp.com,15.201.225.10
56.com,59.32.213.232
answers.com,67.196.156.65
ameblo.jp,180.233.142.129
andysayler.com,198.199.109.206
walmart.com,161.170.244.20
fc2.com,54.241.184.224
rapidshare.com,154.46.193.4
pps.tv,58.83.190.154
sdjjdsaf.com,
wmfo.org,23.92.21.128
kugou.com,183.61.119.254
daum.net,61.111.62.173
flickr.com,69.147.76.173
ebay.de,66.135.215.61
paypal.com,66.211.169.3
7k7k.com,115.182.59.33
4shared.com,74.117.178.54
youdao.com,61.135.218.29
tmall.com,110.75.20.163
naver.com,125.209.222.142
amazon.co.jp,54.240.252.0
hotfile.com,199.7.177.216
ku6.com,122.11.45.243
photobucket.com,209.17.68.100
linkedin.com,216.52.242.86
qiyi.com,220.181.115.55
rakuten.co.jp,202.72.51.22
mediafire.com,205.196.120.12
dailymotion.com,195.8.215.136
pconline.com.cn,219.136.245.40
about.com,207.241.148.80
ehow.com,98.124.247.46
imdb.com,72.21.206.80
sogou.com,218.30.103.111
orkut.com.br,74.125.142.87
seesaa.net,59.106.98.139
aol.com,205.188.101.58
softonic.com,46.28.209.20
odnoklassniki.ru,217.20.147.94
jp.msn.com,207.46.68.62
2345.com,42.62.4.52
partypoker.com,83.231.239.70
