windows.com, 64.4.11.37
apple.com, 17.149.160.49
amazon.com, 72.21.215.232
sohu.com, 123.125.116.19
hao123.com, 123.125.114.224
wordpress.com, 192.0.82.252
yahoo.co.jp, 203.216.243.240
ebay.com, 66.211.160.87
pps.tv, 58.83.190.154
fc2.com, 54.241.184.224
orkut.com.br, 74.125.142.86
about.com, 207.241.148.80
tudou.com, 123.126.98.173
paypal.com, 66.211.169.3
56.com, 59.32.213.232
goo.ne.jp, 218.213.142.230
tmall.com, 110.75.20.163
bbc.co.uk, 212.58.244.20
myspace.com, 216.178.46.224
yandex.ru, 213.180.204.11
cnet.com, 64.30.224.118
orkut.com, 74.125.142.87
go.com, 68.71.220.3
xunlei.com, 58.251.57.175
4399.com, 115.182.52.231
skype.com, 91.190.216.21
flickr.com, 69.147.76.173
naver.com, 125.209.222.142
amazon.co.jp, 54.240.250.0
linkedin.com, 216.52.242.86
imdb.com, 207.171.166.22
facebook.com, 173.252.110.27
mail.ru, 217.69.139.201
youtube.com, 74.125.142.190
aol.com, 205.188.100.58
live.com, 65.55.206.154
yahoo.com, 206.190.36.45
wikipedia.org, 208.80.154.224
ifeng.com, 210.51.19.61
baidu.com, 123.125.114.144
msn.com, 65.55.206.228
blogspot.com, 74.125.142.191
microsoft.com, 65.55.58.201
4shared.com, 74.117.178.92
dailymotion.com, 195.8.215.138
taobao.com, 110.75.20.163
qq.com, 125.39.240.113
hotmail.com, 65.55.85.12
sogou.com, 106.120.151.163
bing.com, 204.79.197.200
sina.com.cn, 202.108.33.60
ameblo.jp, 180.233.142.129
weather.com, 96.8.84.132
alibaba.com, 205.204.96.36
craigslist.org, 208.82.238.129
blogger.com, 74.125.142.191
answers.com, 67.196.156.65
alipay.com, 110.75.143.33
renren.com, 220.181.181.222
livedoor.jp, 125.6.149.67
soku.com, 123.126.99.35
soso.com, 183.61.32.183
cnn.com, 157.166.226.26
imageshack.us, 208.94.0.193
360.cn, 220.181.24.100
tianya.cn, 124.225.135.222
vkontakte.ru, 87.240.156.167
163.com, 123.58.180.8
ask.com, 66.235.120.127
mywebsearch.com, 74.113.237.48
nifty.com, 210.131.4.217
adobe.com, 192.150.16.117
twitter.com, 199.59.148.10
zynga.com, 74.114.13.1
7k7k.com, 115.182.59.33
photobucket.com, 209.17.80.100
mozilla.com, 63.245.217.194
softonic.com, 46.28.209.20
mediafire.com, 205.196.120.12
youku.com, 202.102.81.234
andysayler.com, 198.199.109.206
wmfo.org, 23.92.21.128
ehow.com, 98.124.247.46
sdjjdsaf.com, 
daum.net, 110.45.215.23
hp.com, 15.240.60.238
walmart.com, 161.170.248.20
partypoker.com, 194.150.36.34
ebay.de, 66.135.200.23
hotfile.com, 199.7.177.216
kugou.com, 183.61.119.254
pconline.com.cn, 219.136.245.40
youdao.com, 61.135.218.27
jp.msn.com, 202.89.231.47
seesaa.net, 59.106.98.139
qiyi.com, 202.108.14.56
odnoklassniki.ru, 217.20.147.94
rakuten.co.jp, 202.72.51.22
ku6.com, 122.11.45.243
paipai.com, 163.177.67.116
rapidshare.com, 154.46.193.3
2345.com, 42.62.4.52
